Affinity Row ID,Organization Id,Name,Website,Coverage status,People,Status,Sector,Sub-sector,Investment Manager,Description,Primary Owner,Deal Team,Priority,Investors,Source Name,Source Type,Date Added,Time in Current Status,Investment Stage,AIN PoV,Potential Outlier-Investor flag,Pipeline Type
row_63,org_00063,Code,code.dev,Inactive,176,Due Diligence,Cybersecurity,Consumer,Sarah Johnson,Innovative company focused on analytics solutions,Team C,Gamma,Medium,"a16z, a16z",Internal,Direct,2024-09-24,176,Growth,Positive,Yes,Strategic
row_64,org_00064,Brex,brex.com,Inactive,390,Closed,FinTech,Consumer,Sarah Johnson,Innovative company focused on security solutions,Team B,Beta,Low,GV,Conference,Referral,2025-01-23,171,Series A,Positive,Yes,Strategic
row_65,org_00065,Airtable,airtable.com,Inactive,17,Lead,Cybersecurity,Infrastructure,Michael Chen,Innovative company focused on analytics solutions,Team A,Alpha,Medium,"Accel, Accel, GV",Conference,Direct,2025-01-11,100,Series B,Neutral,Yes,Standard
row_66,org_00066,NeoStreamBase,neostreambase.com,Inactive,172,Lead,FinTech,Enterprise,John Smith,Innovative company focused on security solutions,Team C,Beta,High,"a16z, YC",External Referral,Referral,2024-09-11,129,Seed,Under Review,Yes,Fast Track
row_67,org_00067,SmartForceWorks,smartforceworks.com,Inactive,134,Passed,Cybersecurity,B2B,Emma Davis,Innovative company focused on security solutions,Team B,Alpha,High,"GV, Accel",Research,Direct,2025-02-15,57,Growth,Under Review,Yes,Standard
row_68,org_00068,getForce,usegetforce.com,Inactive,88,Passed,HealthTech,Consumer,Michael Chen,Innovative company focused on ML solutions,Team B,Gamma,Medium,a16z,External Referral,Indirect,2024-11-22,144,Seed,Negative,Yes,Fast Track
row_69,org_00069,ShiftAI,shiftai.io,Active,325,Due Diligence,FinTech,B2C,Emma Davis,Innovative company focused on AI solutions,Team B,Alpha,Medium,,Internal,Direct,2025-04-30,51,Series A,Negative,No,Fast Track
row_70,org_00070,SparkApp,sparkapp.xyz,Pending,323,In Discussion,Cybersecurity,Consumer,John Smith,Innovative company focused on security solutions,Team C,Beta,Low,"Sequoia, YC",Research,Referral,2024-09-02,112,Series C,Under Review,No,Strategic
row_71,org_00071,CyberSpaceHQ,cyberspacehq.ai,Inactive,105,Closed,SaaS,B2C,Michael Chen,Innovative company focused on ML solutions,Team C,Delta,High,"Sequoia, YC, GV",Conference,Direct,2024-11-29,104,Growth,Neutral,No,Standard
row_72,org_00072,MongoDB,mongodb.com,Inactive,333,Due Diligence,HealthTech,B2B,Emma Davis,Innovative company focused on analytics solutions,Team C,Gamma,Low,"YC, YC",Conference,Indirect,2024-10-04,127,Series A,Neutral,Yes,Standard
row_73,org_00073,TechFlowWorks,gettechflowworks.tech,Inactive,277,Passed,HealthTech,Consumer,Emma Davis,Innovative company focused on AI solutions,Team C,Beta,Medium,"a16z, YC, YC",Internal,Indirect,2024-09-13,55,Series B,Under Review,No,Fast Track
row_74,org_00074,MindTech,joinmindtech.io,Inactive,269,Closed,SaaS,Consumer,Sarah Johnson,Innovative company focused on ML solutions,Team C,Gamma,Medium,"a16z, a16z, GV",Research,Direct,2025-05-25,1,Growth,Positive,No,Standard
row_75,org_00075,MindWorks,mindworks.com,Inactive,463,Passed,Cybersecurity,B2B,Sarah Johnson,Innovative company focused on AI solutions,Team C,Gamma,Low,"Accel, Sequoia",Internal,Referral,2024-12-20,90,Growth,Under Review,No,Strategic
row_76,org_00076,Logic,logic.com,Inactive,403,Closed,AI/ML,Consumer,Sarah Johnson,Innovative company focused on security solutions,Team C,Beta,Medium,,Internal,Indirect,2025-05-06,156,Series C,Positive,Yes,Strategic
row_77,org_00077,SignalApp,signalapp.app,Pending,412,In Discussion,SaaS,B2C,Michael Chen,Innovative company focused on cloud solutions,Team C,Beta,High,"GV, YC",External Referral,Indirect,2024-09-06,53,Growth,Under Review,Yes,Standard
row_78,org_00078,Asana,asana.com,Pending,42,Due Diligence,Cybersecurity,Consumer,John Smith,Innovative company focused on ML solutions,Team C,Delta,Low,,Internal,Direct,2025-03-09,73,Series C,Positive,No,Standard
row_79,org_00079,Sphere,trysphere.com,Inactive,423,Closed,SaaS,Enterprise,John Smith,Innovative company focused on cloud solutions,Team B,Gamma,High,"a16z, Accel",Research,Indirect,2025-05-12,108,Series A,Neutral,Yes,Strategic
row_80,org_00080,SpaceHQ,spacehq.so,Pending,98,Lead,SaaS,Infrastructure,Sarah Johnson,Innovative company focused on security solutions,Team C,Gamma,High,"GV, a16z, Accel",Internal,Indirect,2024-11-06,150,Series B,Under Review,Yes,Standard
row_81,org_00081,FlowLabs,tryflowlabs.com,Active,99,Lead,FinTech,B2C,Sarah Johnson,Innovative company focused on analytics solutions,Team A,Beta,High,,Research,Referral,2025-04-19,8,Series B,Negative,Yes,Fast Track
row_82,org_00082,getStream,usegetstream.com,Inactive,309,Closed,Cybersecurity,Enterprise,Sarah Johnson,Innovative company focused on analytics solutions,Team B,Alpha,Low,,Conference,Referral,2025-05-07,177,Growth,Positive,Yes,Standard
row_83,org_00083,SignalCloud,signalcloud.so,Active,73,Closed,AI/ML,B2B,Emma Davis,Innovative company focused on cloud solutions,Team C,Beta,Medium,,Internal,Referral,2025-05-09,42,Growth,Neutral,No,Fast Track
row_84,org_00084,NodeLabs,getnodelabs.com,Active,322,Closed,FinTech,B2C,Sarah Johnson,Innovative company focused on cloud solutions,Team A,Gamma,High,GV,Research,Direct,2024-09-11,155,Series A,Negative,Yes,Standard
row_85,org_00085,SmartForce,smartforce.com,Inactive,448,Lead,SaaS,Infrastructure,Emma Davis,Innovative company focused on analytics solutions,Team C,Beta,High,GV,Conference,Indirect,2024-12-11,167,Series C,Neutral,No,Standard
row_86,org_00086,Rippling,rippling.com,Pending,240,Lead,CleanTech,Infrastructure,John Smith,Innovative company focused on AI solutions,Team A,Delta,High,"Sequoia, YC, Sequoia",Research,Direct,2025-05-31,25,Series B,Positive,No,Strategic
row_87,org_00087,Deel,deel.com,Active,438,Closed,SaaS,B2B,Michael Chen,Innovative company focused on cloud solutions,Team A,Alpha,Medium,"a16z, a16z",Conference,Indirect,2024-07-28,38,Series C,Under Review,Yes,Fast Track
row_88,org_00088,StackHQ,stackhq.sh,Inactive,338,Passed,SaaS,B2B,Michael Chen,Innovative company focused on ML solutions,Team A,Beta,Medium,,External Referral,Indirect,2024-07-17,85,Series A,Neutral,Yes,Strategic
row_89,org_00089,GitLab,gitlab.com,Active,377,Passed,Cybersecurity,B2C,Michael Chen,Innovative company focused on AI solutions,Team A,Delta,Low,a16z,Internal,Indirect,2025-03-29,152,Series B,Under Review,Yes,Standard
row_90,org_00090,ForceLabs,forcelabs.com,Active,380,In Discussion,Cybersecurity,Consumer,Michael Chen,Innovative company focused on analytics solutions,Team B,Gamma,Medium,"GV, Sequoia, a16z",Internal,Referral,2025-01-20,24,Series B,Under Review,No,Strategic
row_91,org_00091,SphereLabs,spherelabs.com,Active,463,Due Diligence,FinTech,B2B,Emma Davis,Innovative company focused on AI solutions,Team B,Beta,Low,"Sequoia, Sequoia, a16z",Conference,Direct,2025-04-10,60,Seed,Neutral,No,Standard
row_92,org_00092,getStack,getstack.dev,Active,141,Passed,AI/ML,Consumer,Emma Davis,Innovative company focused on analytics solutions,Team A,Gamma,Low,,External Referral,Direct,2025-05-04,178,Series A,Neutral,No,Standard
row_93,org_00093,Shift,shift.com,Pending,422,Lead,FinTech,Enterprise,Sarah Johnson,Innovative company focused on ML solutions,Team C,Delta,Low,a16z,Research,Indirect,2025-03-22,111,Series A,Neutral,No,Standard
row_94,org_00094,LinkHQ,linkhq.com,Active,80,Passed,HealthTech,Infrastructure,Emma Davis,Innovative company focused on cloud solutions,Team A,Gamma,Low,a16z,External Referral,Direct,2025-05-16,66,Seed,Under Review,No,Fast Track
row_95,org_00095,MetaSignalHub,metasignalhub.com,Active,487,In Discussion,SaaS,Consumer,Sarah Johnson,Innovative company focused on AI solutions,Team B,Delta,Low,"a16z, YC, Sequoia",Research,Referral,2024-12-30,142,Series C,Negative,No,Fast Track
row_96,org_00096,Asana,asana.com,Active,39,In Discussion,CleanTech,Infrastructure,Sarah Johnson,Innovative company focused on ML solutions,Team C,Delta,High,"Accel, a16z, Sequoia",Research,Direct,2024-07-02,53,Seed,Positive,No,Fast Track
row_97,org_00097,HubSpot,hubspot.com,Pending,5,Due Diligence,SaaS,Consumer,Michael Chen,Innovative company focused on analytics solutions,Team B,Delta,Medium,"GV, a16z",Internal,Indirect,2024-12-30,160,Series A,Negative,Yes,Strategic
row_98,org_00098,ShiftWorks,shiftworks.com,Active,300,Passed,SaaS,Enterprise,Emma Davis,Innovative company focused on security solutions,Team B,Beta,High,a16z,Conference,Referral,2025-01-08,106,Series C,Under Review,No,Standard
row_99,org_00099,TechShiftHQ,techshifthq.ai,Active,324,Lead,FinTech,B2B,Emma Davis,Innovative company focused on AI solutions,Team C,Gamma,Low,"Accel, YC",Internal,Referral,2025-03-09,96,Series B,Neutral,No,Strategic
row_100,org_00100,CyberSparkTech,usecybersparktech.io,Pending,410,Lead,CleanTech,Enterprise,Sarah Johnson,Innovative company focused on ML solutions,Team A,Gamma,Medium,YC,Internal,Indirect,2025-05-15,176,Seed,Neutral,No,Strategic
row_101,org_00101,Datadog,datadoghq.com,Pending,64,Closed,CleanTech,B2B,Sarah Johnson,Innovative company focused on ML solutions,Team A,Alpha,High,"a16z, Sequoia",Internal,Direct,2024-09-08,39,Series C,Positive,No,Standard
row_102,org_00102,SphereLabs,usespherelabs.com,Pending,324,Lead,CleanTech,B2B,John Smith,Innovative company focused on AI solutions,Team A,Alpha,High,,Research,Indirect,2024-07-06,168,Series C,Positive,Yes,Strategic
row_103,org_00103,Atlassian,atlassian.com,Active,353,Due Diligence,FinTech,Infrastructure,John Smith,Innovative company focused on ML solutions,Team A,Alpha,Low,,Internal,Direct,2025-04-22,42,Series C,Negative,No,Standard
row_104,org_00104,Datadog,datadoghq.com,Pending,332,Due Diligence,SaaS,Enterprise,Sarah Johnson,Innovative company focused on ML solutions,Team C,Alpha,High,,Research,Direct,2024-08-02,111,Seed,Negative,No,Standard
row_105,org_00105,TechScale,jointechscale.ai,Pending,271,Lead,FinTech,Consumer,John Smith,Innovative company focused on cloud solutions,Team C,Gamma,High,GV,Conference,Referral,2025-05-07,104,Series B,Positive,Yes,Standard
row_106,org_00106,DocuSign,docusign.com,Active,365,Lead,Cybersecurity,Enterprise,John Smith,Innovative company focused on security solutions,Team C,Delta,High,"YC, Sequoia",Research,Indirect,2024-09-17,77,Series C,Under Review,Yes,Standard
row_107,org_00107,Figma,figma.com,Pending,233,Closed,Cybersecurity,Infrastructure,Sarah Johnson,Innovative company focused on analytics solutions,Team B,Delta,High,"Accel, a16z",Research,Referral,2025-05-13,8,Seed,Negative,No,Strategic
row_108,org_00108,GridApp,gridapp.app,Active,274,Lead,FinTech,B2B,Sarah Johnson,Innovative company focused on security solutions,Team C,Beta,High,,External Referral,Indirect,2025-02-23,26,Series A,Neutral,No,Strategic
row_109,org_00109,TechSpace,techspace.io,Inactive,320,Closed,CleanTech,Infrastructure,Emma Davis,Innovative company focused on ML solutions,Team A,Delta,Low,,Internal,Indirect,2025-04-26,140,Seed,Neutral,No,Strategic
row_110,org_00110,Anthropic,anthropic.com,Pending,290,Closed,SaaS,B2C,Sarah Johnson,Innovative company focused on cloud solutions,Team B,Gamma,Low,YC,Internal,Referral,2024-08-18,43,Seed,Under Review,No,Fast Track
row_111,org_00111,NextSpace,nextspace.xyz,Inactive,295,Lead,FinTech,B2C,Sarah Johnson,Innovative company focused on AI solutions,Team A,Gamma,High,a16z,Internal,Indirect,2024-06-16,179,Seed,Positive,No,Strategic
row_112,org_00112,Plaid,plaid.com,Active,217,In Discussion,FinTech,Consumer,Michael Chen,Innovative company focused on ML solutions,Team A,Gamma,Low,"YC, a16z",Internal,Indirect,2024-08-08,110,Series C,Negative,No,Strategic
row_113,org_00113,Anthropic,anthropic.com,Pending,169,In Discussion,FinTech,Infrastructure,Emma Davis,Innovative company focused on ML solutions,Team C,Beta,Low,"YC, Sequoia, YC",External Referral,Direct,2024-12-16,100,Seed,Neutral,Yes,Fast Track
row_114,org_00114,Link,link.com,Active,9,Closed,HealthTech,Consumer,Emma Davis,Innovative company focused on security solutions,Team C,Alpha,Medium,"a16z, Sequoia",External Referral,Indirect,2024-08-12,63,Series A,Positive,Yes,Standard
row_115,org_00115,LinkAI,getlinkai.io,Inactive,343,Lead,Cybersecurity,Consumer,Emma Davis,Innovative company focused on analytics solutions,Team A,Delta,High,"Accel, GV, YC",External Referral,Indirect,2024-06-16,49,Series C,Negative,No,Standard
row_116,org_00116,Splunk,splunk.com,Active,383,In Discussion,CleanTech,B2C,Michael Chen,Innovative company focused on security solutions,Team A,Gamma,Low,"Sequoia, Accel",External Referral,Referral,2025-01-25,115,Series A,Under Review,No,Standard
